"Onderwerpen_1";"Onderwerpen_2";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"2010";"2011"
"Arbeidsvolume";"Werkzame persoon";"26 Elektrotechnische industrie";"x 1 000";"29.5";"28.7"
"Arbeidsvolume";"Werkzame persoon";"263 Communicatieapparatenindustrie";"x 1 000";"1.3";"1.4"
"Arbeidsvolume";"Werkzame persoon";"264 Consumentenelektronicaindustrie";"x 1 000";"1.1";"1.1"
"Arbeidsvolume";"Werkzame persoon";"265 Meetapparaten- en uurwerkindustrie";"x 1 000";"11.1";"10.8"
"Arbeidsvolume";"Werkzame persoon";"267 Optische instrumentenindustrie";"x 1 000";"1.1";"."
"Arbeidsvolume";"Werkzame persoon";"27 Elektrische apparatenindustrie";"x 1 000";"21.3";"23.1"
"Arbeidsvolume";"Werkzame persoon";"271 Elektromotor- en -panelenindustrie";"x 1 000";"6.4";"6.3"
"Arbeidsvolume";"Werkzame persoon";"273 Elektr. kabel-, schakelaarindustrie";"x 1 000";"3.0";"2.8"
"Arbeidsvolume";"Werkzame persoon";"274 Elektrische verlichtingsindustrie";"x 1 000";"5.9";"6.1"
"Arbeidsvolume";"Werkzame persoon";"275 Huishoudelijke apparatenindustrie";"x 1 000";"3.4";"4.0"
"Arbeidsvolume";"Werkzame persoon";"28 Machine-industrie";"x 1 000";"81.2";"84.5"
"Arbeidsvolume";"Werkzame persoon";"281 Motoren-, pompen- e.d. industrie";"x 1 000";"12.7";"12.7"
"Arbeidsvolume";"Werkzame persoon";"282 Overige machine-industrie algemeen";"x 1 000";"33.6";"35.6"
"Arbeidsvolume";"Werkzame persoon";"2822 Hijs- en hefwerktuigenindustrie";"x 1 000";"12.6";"13.2"
"Arbeidsvolume";"Werkzame persoon";"2829 Overige machine-industrie algemeen";"x 1 000";"11.2";"11.2"
"Arbeidsvolume";"Werkzame persoon";"283 Landbouwmachine-industrie";"x 1 000";"6.8";"7.3"
"Arbeidsvolume";"Werkzame persoon";"284 Gereedschapswerktuigenindustrie";"x 1 000";"1.6";"1.3"
"Arbeidsvolume";"Werkzame persoon";"289 Overige machine-industrie specifiek";"x 1 000";"26.4";"27.6"
"Arbeidsvolume";"Werkzame persoon";"2899 Overige machine-industrie specifiek";"x 1 000";"13.6";"15.0"
"Arbeidsvolume";"Werkzame persoon";"29-30 Transportmiddelenindustrie";"x 1 000";"43.2";"41.3"
"Arbeidsvolume";"Werkzame persoon";"29 Auto- en aanhangwagenindustrie";"x 1 000";"21.3";"21.7"
"Arbeidsvolume";"Werkzame persoon";"291 Autoindustrie";"x 1 000";"8.8";"10.1"
"Arbeidsvolume";"Werkzame persoon";"292 Carrosserie-, aanhangwagenindustrie";"x 1 000";"6.9";"6.3"
"Arbeidsvolume";"Werkzame persoon";"293 Auto-onderdelenindustrie";"x 1 000";"5.6";"5.3"
"Arbeidsvolume";"Werkzame persoon";"30 Overige transportmiddelenindustrie";"x 1 000";"21.9";"19.7"
"Arbeidsvolume";"Werkzame persoon";"301 Scheepsbouw";"x 1 000";"14.6";"12.8"
"Arbeidsvolume";"Werkzame persoon";"302 Industrie van rollend spoormaterieel";"x 1 000";"0.3";"0.3"
"Arbeidsvolume";"Werkzame persoon";"309 Overige transportmiddelenindustrie";"x 1 000";"2.8";"2.8"
"Arbeidsvolume";"Werkzame persoon";"31 Meubelindustrie";"x 1 000";"25.0";"23.7"
"Arbeidsvolume";"Werkzame persoon";"3101 Bedrijfsmeubelindustrie";"x 1 000";"14.0";"13.3"
"Arbeidsvolume";"Werkzame persoon";"32 Overige industrie";"x 1 000";"100.4";"102.8"
"Arbeidsvolume";"Werkzame persoon";"325 Medische instrumentenindustrie";"x 1 000";"9.9";"10.7"
"Arbeidsvolume";"Werkzame persoon";"329 Overige industrie";"x 1 000";"87.2";"89.1"
"Arbeidsvolume";"Werkzame persoon";"32991 Sociale werkvoorziening";"x 1 000";"85.2";"87.2"
"Arbeidsvolume";"Werkzame persoon";"33 Reparatie en installatie van machines";"x 1 000";"40.9";"42.3"
"Arbeidsvolume";"Werkzame persoon";"331 Reparatie van machines en apparatuur";"x 1 000";"31.1";"32.4"
"Arbeidsvolume";"Werkzame persoon";"3311 Reparatie van producten van metaal";"x 1 000";".";"."
"Arbeidsvolume";"Werkzame persoon";"332 Installatie van industriële machines";"x 1 000";"9.8";"9.9"
"Arbeidsvolume";"Werkzame persoon";"35-36 Energie- en waterleidingbedrijven";"x 1 000";".";"35.3"
"Arbeidsvolume";"Werkzame persoon";"D Energievoorziening";"x 1 000";"28.9";"29.9"
"Arbeidsvolume";"Werkzame persoon";"35 Energiebedrijven";"x 1 000";"28.9";"29.9"
"Arbeidsvolume";"Werkzame persoon";"3514 Handel in elektriciteit en gas";"x 1 000";"x";"x"
"Arbeidsvolume";"Werkzame persoon";"E Waterbedrijven en afvalbeheer";"x 1 000";"35.4";"36.3"
"Arbeidsvolume";"Werkzame persoon";"36 Waterleidingbedrijven";"x 1 000";"5.5";"5.3"
"Arbeidsvolume";"Werkzame persoon";"37 Afvalwaterinzameling en -behandeling";"x 1 000";"3.8";"3.9"
"Arbeidsvolume";"Werkzame persoon";"38 Afvalbehandeling en recycling";"x 1 000";"24.1";"24.7"
"Arbeidsvolume";"Werkzame persoon";"381 Inzameling van afval";"x 1 000";"13.7";"13.0"
"Arbeidsvolume";"Werkzame persoon";"382 Behandeling van afval";"x 1 000";"6.0";"6.5"
"Arbeidsvolume";"Werkzame persoon";"383 Voorbereiding tot recycling";"x 1 000";"4.5";"5.1"
"Arbeidsvolume";"Werkzame persoon";"39 Sanering en overig afvalbeheer";"x 1 000";"1.9";"2.4"
"Arbeidsvolume";"Werkzame persoon";"F Bouwnijverheid";"x 1 000";"514.8";"512.2"
"Arbeidsvolume";"Werkzame persoon";"41 Algemene bouw en projectontwikkeling";"x 1 000";"154.7";"155.9"
"Arbeidsvolume";"Werkzame persoon";"412-439 Bouw (geen projectontwikkeling)";"x 1 000";".";"501.3"
"Arbeidsvolume";"Werkzame persoon";"412 Algemene B&U-bouw";"x 1 000";"144.0";"145.0"
"Arbeidsvolume";"Werkzame persoon";"42 Grond-, water-  en wegenbouw";"x 1 000";"69.8";"67.7"
"Arbeidsvolume";"Werkzame persoon";"421 Bouw van wegen, spoorwegen, tunnels";"x 1 000";"42.1";"40.3"
"Arbeidsvolume";"Werkzame persoon";"422 Buizen- en kabelleggers";"x 1 000";"20.5";"20.2"
"Arbeidsvolume";"Werkzame persoon";"43 Gespecialiseerde bouw";"x 1 000";"290.3";"288.6"
"Arbeidsvolume";"Werkzame persoon";"431 Sloopbedrijven en grondwerk";"x 1 000";"17.7";"17.6"
"Arbeidsvolume";"Werkzame persoon";"432 Bouwinstallatiebedrijven";"x 1 000";"138.5";"138.1"
"Arbeidsvolume";"Werkzame persoon";"4322 Loodgieters en installatiebedrijven";"x 1 000";"61.3";"59.3"
"Arbeidsvolume";"Werkzame persoon";"433 Afwerkingsbedrijven (bouw)";"x 1 000";"85.7";"85.6"
"Arbeidsvolume";"Werkzame persoon";"4331 Stukadoorsbedrijven";"x 1 000";"9.6";"9.5"
"Arbeidsvolume";"Werkzame persoon";"4334 Schilders- en glaszetbedrijven";"x 1 000";"37.4";"36.1"
"Arbeidsvolume";"Werkzame persoon";"439 Overige gespecialiseerde bouw";"x 1 000";"48.4";"47.2"
"Arbeidsvolume";"Werkzame persoon";"4391 Dakbouwbedrijven";"x 1 000";"10.4";"10.7"
"Arbeidsvolume";"Werkzame persoon";"G-I Handel, vervoer en horeca";"x 1 000";"1738.7";"1783.4"
"Arbeidsvolume";"Werkzame persoon";"G Handel";"x 1 000";"1120.0";"1145.3"
"Arbeidsvolume";"Werkzame persoon";"45 Autohandel en -reparatie";"x 1 000";"128.1";"134.9"
"Arbeidsvolume";"Werkzame persoon";"451 Autohandel en -reparatie";"x 1 000";"86.5";"90.8"
"Arbeidsvolume";"Werkzame persoon";"4511 Handel en reparatie personenauto's";"x 1 000";"74.1";"78.0"
"Arbeidsvolume";"Werkzame persoon";"45111 Import van nieuwe personenauto's";"x 1 000";"2.8";"2.7"
"Arbeidsvolume";"Werkzame persoon";"45112 Handel en reparatie personenauto's";"x 1 000";"71.3";"75.3"
"Arbeidsvolume";"Werkzame persoon";"4519 Handel in vrachtwagens, aanhangers";"x 1 000";"12.4";"12.8"
"Arbeidsvolume";"Werkzame persoon";"452 Gespecialiseerde autoreparatie";"x 1 000";"21.4";"23.3"
"Arbeidsvolume";"Werkzame persoon";"453 Handel in auto-onderdelen";"x 1 000";"16.9";"17.1"
"Arbeidsvolume";"Werkzame persoon";"454 Handel en reparatie van motorfietsen";"x 1 000";"3.3";"3.7"
"Arbeidsvolume";"Werkzame persoon";"46 Groothandel en handelsbemiddeling";"x 1 000";"487.6";"505.0"
"Arbeidsvolume";"Werkzame persoon";"462-469 Groothandel";"x 1 000";"462.4";"479.3"
"Arbeidsvolume";"Werkzame persoon";"462 Groothandel in landbouwproducten";"x 1 000";"33.1";"33.3"
"Arbeidsvolume";"Werkzame persoon";"4621 Groothandel in akkerbouwproducten";"x 1 000";"9.3";"8.6"
"Arbeidsvolume";"Werkzame persoon";"4622 Groothandel in bloemen en planten";"x 1 000";"19.6";"20.2"
"Arbeidsvolume";"Werkzame persoon";"463 Groothandel in voedingsmiddelen";"x 1 000";"81.9";"83.7"
"Arbeidsvolume";"Werkzame persoon";"4631 Groothandel in groenten, fruit e.d.";"x 1 000";"16.8";"16.3"
"Arbeidsvolume";"Werkzame persoon";"4634 Groothandel in dranken, geen zuivel";"x 1 000";"5.8";"5.4"
"Arbeidsvolume";"Werkzame persoon";"4638 Groothandel in overige voeding";"x 1 000";"14.5";"14.9"
"Arbeidsvolume";"Werkzame persoon";"4639 Groothandel in voeding algemeen";"x 1 000";"22.6";"23.3"
"Arbeidsvolume";"Werkzame persoon";"464 Groothandel in non-food";"x 1 000";"108.5";"118.2"
"Arbeidsvolume";"Werkzame persoon";"4642 Groothandel in kleding en schoenen";"x 1 000";"19.4";"21.1"
"Arbeidsvolume";"Werkzame persoon";"4643 Groothandel consumentenapparatuur";"x 1 000";"11.9";"12.7"
"Arbeidsvolume";"Werkzame persoon";"4646 Groothandel in medische artikelen";"x 1 000";"26.2";"28.7"
"Arbeidsvolume";"Werkzame persoon";"4647 Groothandel in woninginrichting";"x 1 000";"8.9";"8.8"
"Arbeidsvolume";"Werkzame persoon";"465 Groothandel in ICT-apparatuur";"x 1 000";"56.7";"58.0"
"Arbeidsvolume";"Werkzame persoon";"4651 Groothandel in computers, software";"x 1 000";"32.7";"34.3"
"Arbeidsvolume";"Werkzame persoon";"4652 Groothandel in overige elektronica";"x 1 000";"24.1";"23.8"
"Arbeidsvolume";"Werkzame persoon";"466 Groothandel in industriemachines";"x 1 000";"86.6";"88.7"
"Arbeidsvolume";"Werkzame persoon";"467 Overige gespecialiseerde groothandel";"x 1 000";"86.4";"87.3"
"Arbeidsvolume";"Werkzame persoon";"4671 Groothandel in olie en steenkool";"x 1 000";"6.3";"6.1"
"Arbeidsvolume";"Werkzame persoon";"4672 Groothandel in metaal en erts";"x 1 000";"8.5";"8.9"
"Arbeidsvolume";"Werkzame persoon";"4673 Groothandel in bouwmaterialen";"x 1 000";"39.7";"40.6"
"Arbeidsvolume";"Werkzame persoon";"4675 Groothandel in chemische producten";"x 1 000";"9.7";"8.9"
"Arbeidsvolume";"Werkzame persoon";"4677 Groothandel in afval en schroot";"x 1 000";"7.3";"7.2"
"Arbeidsvolume";"Werkzame persoon";"469 Niet-gespecialiseerde groothandel";"x 1 000";"9.3";"10.0"
"Arbeidsvolume";"Werkzame persoon";"47 Detailhandel (niet in auto's)";"x 1 000";"504.2";"505.4"
"Arbeidsvolume";"Werkzame persoon";"471 Supermarkten en warenhuizen";"x 1 000";"127.8";"127.9"
"Arbeidsvolume";"Werkzame persoon";"4719, 474-477 Winkels in non-foodart.";"x 1 000";".";"303.8"
"Arbeidsvolume";"Werkzame persoon";"4711 Supermarkten";"x 1 000";"111.0";"111.1"
"Arbeidsvolume";"Werkzame persoon";"4711, 472 Winkels in voedingsmiddelen";"x 1 000";".";"149.4"
"Arbeidsvolume";"Werkzame persoon";"4719 Warenhuizen e.d.";"x 1 000";"16.7";"16.8"
"Arbeidsvolume";"Werkzame persoon";"472 Winkels in voedingsmiddelen";"x 1 000";"38.7";"38.3"
"Arbeidsvolume";"Werkzame persoon";"473 Tankstations";"x 1 000";"10.5";"10.8"
"Arbeidsvolume";"Werkzame persoon";"474 Winkels in consumentenelektronica";"x 1 000";"17.4";"15.7"
"Arbeidsvolume";"Werkzame persoon";"4743 Winkels in wit- en bruingoed";"x 1 000";"11.4";"10.0"
"Arbeidsvolume";"Werkzame persoon";"475 Winkels in overige huishoudwaren";"x 1 000";"70.6";"72.0"
"Arbeidsvolume";"Werkzame persoon";"4751 Winkels in stoffen en textiel";"x 1 000";"1.3";"1.2"
"Arbeidsvolume";"Werkzame persoon";"4752 Winkels in doe-het-zelfartikelen";"x 1 000";"28.6";"28.5"
"Arbeidsvolume";"Werkzame persoon";"4753 Winkels in tapijt en gordijnen";"x 1 000";"4.5";"4.3"
"Arbeidsvolume";"Werkzame persoon";"4754 Winkels elektr. huishoudapparatuur";"x 1 000";"1.6";"2.2"
"Arbeidsvolume";"Werkzame persoon";"4759 Winkels overige huishoudartikelen";"x 1 000";"34.6";"35.8"
"Arbeidsvolume";"Werkzame persoon";"476 Winkels in recreatieartikelen";"x 1 000";"28.7";"28.8"
"Arbeidsvolume";"Werkzame persoon";"4764 Winkels in vrijetijdsartikelen";"x 1 000";"14.7";"14.9"
"Arbeidsvolume";"Werkzame persoon";"4765 Speelgoedwinkels";"x 1 000";"4.8";"4.8"
"Arbeidsvolume";"Werkzame persoon";"477 Winkels in overige artikelen";"x 1 000";"168.8";"170.6"
"Arbeidsvolume";"Werkzame persoon";"4771 Winkels in kleding";"x 1 000";"65.0";"65.9"
"Arbeidsvolume";"Werkzame persoon";"4772 Winkels in schoenen en lederwaren";"x 1 000";"15.3";"15.6"
