"Onderwerpen_1";"Onderwerpen_2";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"2010";"2011"
"Bedrijfsopbrengsten";"Netto-omzet";"4651 Groothandel in computers, software";"x mln euro";"39786";"47652"
"Bedrijfsopbrengsten";"Netto-omzet";"4652 Groothandel in overige elektronica";"x mln euro";"11481";"11956"
"Bedrijfsopbrengsten";"Netto-omzet";"466 Groothandel in industriemachines";"x mln euro";"36575";"40718"
"Bedrijfsopbrengsten";"Netto-omzet";"467 Overige gespecialiseerde groothandel";"x mln euro";"112042";"133366"
"Bedrijfsopbrengsten";"Netto-omzet";"4671 Groothandel in olie en steenkool";"x mln euro";"65805";"82006"
"Bedrijfsopbrengsten";"Netto-omzet";"4672 Groothandel in metaal en erts";"x mln euro";"6746";"8127"
"Bedrijfsopbrengsten";"Netto-omzet";"4673 Groothandel in bouwmaterialen";"x mln euro";"15433";"16605"
"Bedrijfsopbrengsten";"Netto-omzet";"4675 Groothandel in chemische producten";"x mln euro";"11842";"12575"
"Bedrijfsopbrengsten";"Netto-omzet";"4677 Groothandel in afval en schroot";"x mln euro";"6591";"7992"
"Bedrijfsopbrengsten";"Netto-omzet";"469 Niet-gespecialiseerde groothandel";"x mln euro";"3535";"3920"
"Bedrijfsopbrengsten";"Netto-omzet";"47 Detailhandel (niet in auto's)";"x mln euro";"101897";"104328"
"Bedrijfsopbrengsten";"Netto-omzet";"471 Supermarkten en warenhuizen";"x mln euro";"32798";"33965"
"Bedrijfsopbrengsten";"Netto-omzet";"4719, 474-477 Winkels in non-foodart.";"x mln euro";".";"52923"
"Bedrijfsopbrengsten";"Netto-omzet";"4711 Supermarkten";"x mln euro";"29791";"30877"
"Bedrijfsopbrengsten";"Netto-omzet";"4711, 472 Winkels in voedingsmiddelen";"x mln euro";".";"36474"
"Bedrijfsopbrengsten";"Netto-omzet";"4719 Warenhuizen e.d.";"x mln euro";"3008";"3088"
"Bedrijfsopbrengsten";"Netto-omzet";"472 Winkels in voedingsmiddelen";"x mln euro";"5464";"5597"
"Bedrijfsopbrengsten";"Netto-omzet";"473 Tankstations";"x mln euro";"8141";"8987"
"Bedrijfsopbrengsten";"Netto-omzet";"474 Winkels in consumentenelektronica";"x mln euro";"4497";"4421"
"Bedrijfsopbrengsten";"Netto-omzet";"4743 Winkels in wit- en bruingoed";"x mln euro";"3205";"3133"
"Bedrijfsopbrengsten";"Netto-omzet";"475 Winkels in overige huishoudwaren";"x mln euro";"13079";"13219"
"Bedrijfsopbrengsten";"Netto-omzet";"4751 Winkels in stoffen en textiel";"x mln euro";"100";"98"
"Bedrijfsopbrengsten";"Netto-omzet";"4752 Winkels in doe-het-zelfartikelen";"x mln euro";"5638";"5764"
"Bedrijfsopbrengsten";"Netto-omzet";"4753 Winkels in tapijt en gordijnen";"x mln euro";"601";"583"
"Bedrijfsopbrengsten";"Netto-omzet";"4754 Winkels elektr. huishoudapparatuur";"x mln euro";"288";"314"
"Bedrijfsopbrengsten";"Netto-omzet";"4759 Winkels overige huishoudartikelen";"x mln euro";"6451";"6461"
"Bedrijfsopbrengsten";"Netto-omzet";"476 Winkels in recreatieartikelen";"x mln euro";"5135";"5032"
"Bedrijfsopbrengsten";"Netto-omzet";"4764 Winkels in vrijetijdsartikelen";"x mln euro";"2598";"2565"
"Bedrijfsopbrengsten";"Netto-omzet";"4765 Speelgoedwinkels";"x mln euro";"911";"875"
"Bedrijfsopbrengsten";"Netto-omzet";"477 Winkels in overige artikelen";"x mln euro";"27244";"27164"
"Bedrijfsopbrengsten";"Netto-omzet";"4771 Winkels in kleding";"x mln euro";"9697";"9568"
"Bedrijfsopbrengsten";"Netto-omzet";"4772 Winkels in schoenen en lederwaren";"x mln euro";"2238";"2264"
"Bedrijfsopbrengsten";"Netto-omzet";"4773 Apotheken";"x mln euro";"5372";"5028"
"Bedrijfsopbrengsten";"Netto-omzet";"4774 Drogisten, orthopedische winkels";"x mln euro";"3401";"3474"
"Bedrijfsopbrengsten";"Netto-omzet";"4775 Winkels in parfums en cosmetica";"x mln euro";"617";"640"
"Bedrijfsopbrengsten";"Netto-omzet";"4776 Bloemen-, dierenwinkels, tuincentra";"x mln euro";"2514";"2576"
"Bedrijfsopbrengsten";"Netto-omzet";"4777 Juweliers";"x mln euro";"791";"894"
"Bedrijfsopbrengsten";"Netto-omzet";"478 Markthandel";"x mln euro";"1180";"1221"
"Bedrijfsopbrengsten";"Netto-omzet";"479 Detailhandel, geen winkel of markt";"x mln euro";"4360";"4722"
"Bedrijfsopbrengsten";"Netto-omzet";"4791 Postorderbedrijven, internetwinkels";"x mln euro";".";"3837"
"Bedrijfsopbrengsten";"Netto-omzet";"H+J Vervoer, informatie en communicatie";"x mln euro";".";"."
"Bedrijfsopbrengsten";"Netto-omzet";"H Vervoer en opslag";"x mln euro";"67318";"71874"
"Bedrijfsopbrengsten";"Netto-omzet";"49 Vervoer over land";"x mln euro";"24488";"26244"
"Bedrijfsopbrengsten";"Netto-omzet";"491-492 Vervoer per spoor";"x mln euro";"x";"2295"
"Bedrijfsopbrengsten";"Netto-omzet";"493 Personenvervoer over de weg";"x mln euro";"3680";"3903"
"Bedrijfsopbrengsten";"Netto-omzet";"4932 Vervoer per taxi";"x mln euro";"1833";"1876"
"Bedrijfsopbrengsten";"Netto-omzet";"494 Goederenvervoer over de weg";"x mln euro";"18186";"19669"
"Bedrijfsopbrengsten";"Netto-omzet";"4941 Goederenwegvervoer (geen verhuis-)";"x mln euro";"17767";"19210"
"Bedrijfsopbrengsten";"Netto-omzet";"4942 Verhuisvervoer";"x mln euro";"419";"459"
"Bedrijfsopbrengsten";"Netto-omzet";"50 Vervoer over water";"x mln euro";"7133";"7514"
"Bedrijfsopbrengsten";"Netto-omzet";"501-502 Zee- en kustvaart";"x mln euro";"4917";"4977"
"Bedrijfsopbrengsten";"Netto-omzet";"503-504 Binnenvaart";"x mln euro";"2216";"2537"
"Bedrijfsopbrengsten";"Netto-omzet";"51 Vervoer door de lucht";"x mln euro";"9385";"9687"
"Bedrijfsopbrengsten";"Netto-omzet";"52 Opslag, dienstverlening voor vervoer";"x mln euro";"21427";"23542"
"Bedrijfsopbrengsten";"Netto-omzet";"521 Opslag";"x mln euro";"3528";"3677"
"Bedrijfsopbrengsten";"Netto-omzet";"522 Dienstverlening voor vervoer";"x mln euro";"17899";"19865"
"Bedrijfsopbrengsten";"Netto-omzet";"5221 Dienstverlening voor landvervoer";"x mln euro";"739";"799"
"Bedrijfsopbrengsten";"Netto-omzet";"5222 Dienstverlening voor de scheepvaart";"x mln euro";"1259";"1312"
"Bedrijfsopbrengsten";"Netto-omzet";"5223 Dienstverlening voor de luchtvaart";"x mln euro";"1312";"1500"
"Bedrijfsopbrengsten";"Netto-omzet";"5224 Laad-, los- en overslagbedrijven";"x mln euro";"2413";"2609"
"Bedrijfsopbrengsten";"Netto-omzet";"5229 Tussenpersonen vrachtvervoer";"x mln euro";"12175";"13645"
"Bedrijfsopbrengsten";"Netto-omzet";"53 Post en koeriers";"x mln euro";"4886";"4888"
"Bedrijfsopbrengsten";"Netto-omzet";"Traditionele Horeca";"x mln euro";"14085";"14878"
"Bedrijfsopbrengsten";"Netto-omzet";"I Horeca";"x mln euro";"18299";"19203"
"Bedrijfsopbrengsten";"Netto-omzet";"55 Logiesverstrekking";"x mln euro";"5025";"5200"
"Bedrijfsopbrengsten";"Netto-omzet";"551 Hotels";"x mln euro";"3376";"3586"
"Bedrijfsopbrengsten";"Netto-omzet";"56 Eet- en drinkgelegenheden";"x mln euro";"13275";"14003"
"Bedrijfsopbrengsten";"Netto-omzet";"561 Restaurants, andere eetgelegenheden";"x mln euro";"7662";"8188"
"Bedrijfsopbrengsten";"Netto-omzet";"56101 Restaurants";"x mln euro";"5025";"5324"
"Bedrijfsopbrengsten";"Netto-omzet";"56102-56103 Cafetaria's, ijssalons e.d.";"x mln euro";"2637";"2864"
"Bedrijfsopbrengsten";"Netto-omzet";"562 Kantines en catering";"x mln euro";"2566";"2710"
"Bedrijfsopbrengsten";"Netto-omzet";"563 Cafés";"x mln euro";"3047";"3104"
"Bedrijfsopbrengsten";"Netto-omzet";"J Informatie en communicatie";"x mln euro";"52197";"52969"
"Bedrijfsopbrengsten";"Netto-omzet";"58-60 Uitgeverijen, film,radio en t.v.";"x mln euro";"10181";"10138"
"Bedrijfsopbrengsten";"Netto-omzet";"58 Uitgeverijen";"x mln euro";"6372";"6180"
"Bedrijfsopbrengsten";"Netto-omzet";"59 Film- en tv-productie; geluidsopname";"x mln euro";"2070";"2136"
"Bedrijfsopbrengsten";"Netto-omzet";"60 Radio- en televisieomroepen";"x mln euro";"1738";"1822"
"Bedrijfsopbrengsten";"Netto-omzet";"61 Telecommunicatie";"x mln euro";"17858";"17459"
"Bedrijfsopbrengsten";"Netto-omzet";"62-63 IT- en informatiedienstverlening";"x mln euro";"24158";"25371"
"Bedrijfsopbrengsten";"Netto-omzet";"62 IT-dienstverlening";"x mln euro";"22557";"23308"
"Bedrijfsopbrengsten";"Netto-omzet";"63 Diensten op het gebied van informatie";"x mln euro";"1601";"2063"
"Bedrijfsopbrengsten";"Netto-omzet";"L Verhuur en handel van onroerend goed";"x mln euro";".";"."
"Bedrijfsopbrengsten";"Netto-omzet";"68 Verhuur en handel van onroerend goed";"x mln euro";".";"."
"Bedrijfsopbrengsten";"Netto-omzet";"69 Juridische diensten en administratie";"x mln euro";"15286";"15653"
"Bedrijfsopbrengsten";"Netto-omzet";"691 Rechtskundige dienstverlening";"x mln euro";"5662";"5927"
"Bedrijfsopbrengsten";"Netto-omzet";"692 Accountancy, administratie e.d.";"x mln euro";"9624";"9726"
"Bedrijfsopbrengsten";"Netto-omzet";"70102 Holdings (geen financiële)";"x mln euro";"7924";"7084"
"Bedrijfsopbrengsten";"Netto-omzet";"702 Managementadviesbureaus";"x mln euro";"14886";"15326"
"Bedrijfsopbrengsten";"Netto-omzet";"71 Architecten-, ingenieursbureaus e.d.";"x mln euro";"15344";"15496"
"Bedrijfsopbrengsten";"Netto-omzet";"711 Architecten- en ingenieursbureaus";"x mln euro";"13400";"13495"
"Bedrijfsopbrengsten";"Netto-omzet";"7111 Architectenbureaus";"x mln euro";"1329";"1205"
"Bedrijfsopbrengsten";"Netto-omzet";"7112 Ingenieursbureaus";"x mln euro";"12071";"12290"
"Bedrijfsopbrengsten";"Netto-omzet";"712 Keurings- en controlediensten";"x mln euro";"1944";"2000"
"Bedrijfsopbrengsten";"Netto-omzet";"72 Research";"x mln euro";"3747";"3983"
"Bedrijfsopbrengsten";"Netto-omzet";"73-75 Reclame, design, overige diensten";"x mln euro";"16365";"16273"
"Bedrijfsopbrengsten";"Netto-omzet";"73 Reclamewezen en marktonderzoek";"x mln euro";"8390";"8093"
"Bedrijfsopbrengsten";"Netto-omzet";"731 Reclamewezen";"x mln euro";"6587";"6341"
"Bedrijfsopbrengsten";"Netto-omzet";"732 Markt- en opinieonderzoek";"x mln euro";"1803";"1753"
"Bedrijfsopbrengsten";"Netto-omzet";"74 Design, fotografie, vertaalbureaus";"x mln euro";"7197";"7317"
"Bedrijfsopbrengsten";"Netto-omzet";"75 Veterinaire dienstverlening";"x mln euro";"777";"863"
"Bedrijfsopbrengsten";"Netto-omzet";"N Verhuur en overige zakelijke diensten";"x mln euro";"48994";"52406"
"Bedrijfsopbrengsten";"Netto-omzet";"77 Verhuur van roerende goederen";"x mln euro";"10395";"10968"
"Bedrijfsopbrengsten";"Netto-omzet";"771 Verhuur en lease van auto's";"x mln euro";"5421";"6194"
"Bedrijfsopbrengsten";"Netto-omzet";"772 Verhuur van consumentenartikelen";"x mln euro";"1378";"1214"
"Bedrijfsopbrengsten";"Netto-omzet";"78 Uitzendbureaus en arbeidsbemiddeling";"x mln euro";"18787";"20625"
"Bedrijfsopbrengsten";"Netto-omzet";"781 Arbeidsbemiddeling";"x mln euro";"1363";"1599"
"Bedrijfsopbrengsten";"Netto-omzet";"782 Uitzend- en uitleenbureaus; pools";"x mln euro";"16884";"18313"
"Bedrijfsopbrengsten";"Netto-omzet";"78203 Banenpools (werkgelegenheid)";"x mln euro";"221";"175"
"Bedrijfsopbrengsten";"Netto-omzet";"783 Payrolling (personeelsbeheer)";"x mln euro";"540";"713"
"Bedrijfsopbrengsten";"Netto-omzet";"79 Reisbureaus, reisorganisatie en -info";"x mln euro";"7199";"7855"
"Bedrijfsopbrengsten";"Netto-omzet";"7912 Reisorganisatiebureaus";"x mln euro";"3890";"4161"
"Bedrijfsopbrengsten";"Netto-omzet";"80 Beveiligings- en opsporingsdiensten";"x mln euro";"1897";"1950"
"Bedrijfsopbrengsten";"Netto-omzet";"81 Schoonmaakbedrijven, hoveniers e.d.";"x mln euro";"6930";"7442"
"Bedrijfsopbrengsten";"Netto-omzet";"812 Schoonmaakbedrijven";"x mln euro";"4696";"4998"
"Bedrijfsopbrengsten";"Netto-omzet";"8121 Interieurreiniging van gebouwen";"x mln euro";"3569";"3650"
"Bedrijfsopbrengsten";"Netto-omzet";"82 Overige zakelijke dienstverlening";"x mln euro";"3786";"3566"
"Bedrijfsopbrengsten";"Netto-omzet";"95 Reparatie van consumentenartikelen";"x mln euro";"889";"903"
"Bedrijfsopbrengsten";"Netto-omzet";"96 Overige persoonlijke dienstverlening";"x mln euro";"4136";"4236"
"Bedrijfsopbrengsten";"Netto-omzet";"9601 Wasserijen";"x mln euro";"839";"850"
"Bedrijfsopbrengsten";"Netto-omzet";"9602 Kappers en schoonheidsverzorging";"x mln euro";"1965";"2043"
"Bedrijfsopbrengsten";"Netto-omzet";"9603 Uitvaartbranche";"x mln euro";"1044";"1056"
