"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"329 Manufacture of other products n.e.c.";"x 1 000";"87.2";"89.1"
"Labour volume persons employed";"Employed person";"32991 Sheltered workshops";"x 1 000";"85.2";"87.2"
"Labour volume persons employed";"Employed person";"33 Repair and installation of machinery";"x 1 000";"40.9";"42.3"
"Labour volume persons employed";"Employed person";"331 Repair of machinery and equipment";"x 1 000";"31.1";"32.4"
"Labour volume persons employed";"Employed person";"3311 Repair of fabricated metal products";"x 1 000";".";"."
"Labour volume persons employed";"Employed person";"332 Installation of industrial machinery";"x 1 000";"9.8";"9.9"
"Labour volume persons employed";"Employed person";"35-36 Energy and water";"x 1 000";"-";"35.3"
"Labour volume persons employed";"Employed person";"D Electricity and gas supply";"x 1 000";"28.9";"29.9"
"Labour volume persons employed";"Employed person";"35 Electricity and gas supply";"x 1 000";"28.9";"29.9"
"Labour volume persons employed";"Employed person";"3514 Trade of electricity and gas";"x 1 000";"x";"x"
"Labour volume persons employed";"Employed person";"E Water supply and waste management";"x 1 000";"35.4";"36.3"
"Labour volume persons employed";"Employed person";"36 Water collection and distribution";"x 1 000";"5.5";"5.3"
"Labour volume persons employed";"Employed person";"37 Sewerage ";"x 1 000";"3.8";"3.9"
"Labour volume persons employed";"Employed person";"38 Waste collection and treatment";"x 1 000";"24.1";"24.7"
"Labour volume persons employed";"Employed person";"381 Waste collection";"x 1 000";"13.7";"13.0"
"Labour volume persons employed";"Employed person";"382 Waste treatment and disposal";"x 1 000";"6.0";"6.5"
"Labour volume persons employed";"Employed person";"383 Materials recovery";"x 1 000";"4.5";"5.1"
"Labour volume persons employed";"Employed person";"39 Remediation, other waste management ";"x 1 000";"1.9";"2.4"
"Labour volume persons employed";"Employed person";"F Construction";"x 1 000";"514.8";"512.2"
"Labour volume persons employed";"Employed person";"41 Construction buildings, development";"x 1 000";"154.7";"155.9"
"Labour volume persons employed";"Employed person";"412-439 Construction (no development)";"x 1 000";".";"501.3"
"Labour volume persons employed";"Employed person";"412 Construction of buildings";"x 1 000";"144.0";"145.0"
"Labour volume persons employed";"Employed person";"42 Civil engineering";"x 1 000";"69.8";"67.7"
"Labour volume persons employed";"Employed person";"421 Construction of roads and railways";"x 1 000";"42.1";"40.3"
"Labour volume persons employed";"Employed person";"422 Construction of utility projects";"x 1 000";"20.5";"20.2"
"Labour volume persons employed";"Employed person";"43 Specialised construction activities";"x 1 000";"290.3";"288.6"
"Labour volume persons employed";"Employed person";"431 Demolition and site preparation";"x 1 000";"17.7";"17.6"
"Labour volume persons employed";"Employed person";"432 Construction installation";"x 1 000";"138.5";"138.1"
"Labour volume persons employed";"Employed person";"4322 Plumbing, fitting, installation";"x 1 000";"61.3";"59.3"
"Labour volume persons employed";"Employed person";"433 Building completion";"x 1 000";"85.7";"85.6"
"Labour volume persons employed";"Employed person";"4331 Plastering";"x 1 000";"9.6";"9.5"
"Labour volume persons employed";"Employed person";"4334 Painting and glazing";"x 1 000";"37.4";"36.1"
"Labour volume persons employed";"Employed person";"439 Other specialised construction";"x 1 000";"48.4";"47.2"
"Labour volume persons employed";"Employed person";"4391 Roofing";"x 1 000";"10.4";"10.7"
"Labour volume persons employed";"Employed person";"G-I Trade, transport, hotels, catering";"x 1 000";"1738.7";"1783.4"
"Labour volume persons employed";"Employed person";"G Wholesale and retail trade";"x 1 000";"1120.0";"1145.3"
"Labour volume persons employed";"Employed person";"45 Sale and repair of motor vehicles";"x 1 000";"128.1";"134.9"
"Labour volume persons employed";"Employed person";"451 Sale and repair of motor vehicles";"x 1 000";"86.5";"90.8"
"Labour volume persons employed";"Employed person";"4511 Sale and repair of cars";"x 1 000";"74.1";"78.0"
"Labour volume persons employed";"Employed person";"45111 Import of new passenger cars";"x 1 000";"2.8";"2.7"
"Labour volume persons employed";"Employed person";"45112 Sale of passenger cars, no import";"x 1 000";"71.3";"75.3"
"Labour volume persons employed";"Employed person";"4519 Sale and repair of trucks, trailers";"x 1 000";"12.4";"12.8"
"Labour volume persons employed";"Employed person";"452 Specialised repair of motor vehicles";"x 1 000";"21.4";"23.3"
"Labour volume persons employed";"Employed person";"453 Sale of motor vehicle parts.";"x 1 000";"16.9";"17.1"
"Labour volume persons employed";"Employed person";"454 Sale and repair of motorcycles";"x 1 000";"3.3";"3.7"
"Labour volume persons employed";"Employed person";"46 Wholesale trade (no motor vehicles)";"x 1 000";"487.6";"505.0"
"Labour volume persons employed";"Employed person";"462-469 Wholesale";"x 1 000";"462.4";"479.3"
"Labour volume persons employed";"Employed person";"462 Wholesale of agricultural products";"x 1 000";"33.1";"33.3"
"Labour volume persons employed";"Employed person";"4621 Wholesale of grain, seeds etc.";"x 1 000";"9.3";"8.6"
"Labour volume persons employed";"Employed person";"4622 Wholesale of flowers and plants";"x 1 000";"19.6";"20.2"
"Labour volume persons employed";"Employed person";"463 Wholesale of food and beverages ";"x 1 000";"81.9";"83.7"
"Labour volume persons employed";"Employed person";"4631 Wholesale of vegetables, potatoes";"x 1 000";"16.8";"16.3"
"Labour volume persons employed";"Employed person";"4634 Wholesale of beverages";"x 1 000";"5.8";"5.4"
"Labour volume persons employed";"Employed person";"4638 Wholesale of other food";"x 1 000";"14.5";"14.9"
"Labour volume persons employed";"Employed person";"4639 Non-specialised wholesale of food";"x 1 000";"22.6";"23.3"
"Labour volume persons employed";"Employed person";"464 Wholesale of consumer goods";"x 1 000";"108.5";"118.2"
"Labour volume persons employed";"Employed person";"4642 Wholesale of clothes, shoes etc";"x 1 000";"19.4";"21.1"
"Labour volume persons employed";"Employed person";"4643 Wholesale consumer electronics etc";"x 1 000";"11.9";"12.7"
"Labour volume persons employed";"Employed person";"4646 Wholesale of medical goods";"x 1 000";"26.2";"28.7"
"Labour volume persons employed";"Employed person";"4647 Wholesale of furniture and carpets";"x 1 000";"8.9";"8.8"
"Labour volume persons employed";"Employed person";"465 Wholesale of ICT-equipment";"x 1 000";"56.7";"58.0"
"Labour volume persons employed";"Employed person";"4651 Wholesale of computers and software";"x 1 000";"32.7";"34.3"
"Labour volume persons employed";"Employed person";"4652 Wholesale of other electronics";"x 1 000";"24.1";"23.8"
"Labour volume persons employed";"Employed person";"466 Wholesale of other machinery";"x 1 000";"86.6";"88.7"
"Labour volume persons employed";"Employed person";"467 Other specialised wholesale";"x 1 000";"86.4";"87.3"
"Labour volume persons employed";"Employed person";"4671 Wholesale of mineral oils";"x 1 000";"6.3";"6.1"
"Labour volume persons employed";"Employed person";"4672 Wholesale of metals and metal ores";"x 1 000";"8.5";"8.9"
"Labour volume persons employed";"Employed person";"4673 Wholesale of construction materials";"x 1 000";"39.7";"40.6"
