"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Operating returns";"Net turnover";"781 Employment placement agencies";"x mln euro";"1363";"1599"
"Operating returns";"Net turnover";"782 Provision of temporary employment";"x mln euro";"16884";"18313"
"Operating returns";"Net turnover";"78203 Job pools (employment projects)";"x mln euro";"221";"175"
"Operating returns";"Net turnover";"783 Payrolling";"x mln euro";"540";"713"
"Operating returns";"Net turnover";"79 Travel agencies, tour operators etc";"x mln euro";"7199";"7855"
"Operating returns";"Net turnover";"7912 Tour operators";"x mln euro";"3890";"4161"
"Operating returns";"Net turnover";"80 Security and investigation";"x mln euro";"1897";"1950"
"Operating returns";"Net turnover";"81 Facility management";"x mln euro";"6930";"7442"
"Operating returns";"Net turnover";"812 Cleaning activities";"x mln euro";"4696";"4998"
"Operating returns";"Net turnover";"8121 General cleaning of buildings";"x mln euro";"3569";"3650"
"Operating returns";"Net turnover";"82 Other business services";"x mln euro";"3786";"3566"
"Operating returns";"Net turnover";"95 Repair computers and consumer goods";"x mln euro";"889";"903"
"Operating returns";"Net turnover";"96 Other personal services";"x mln euro";"4136";"4236"
"Operating returns";"Net turnover";"9601 Cleaning of clothes of textile ";"x mln euro";"839";"850"
"Operating returns";"Net turnover";"9602 Hairdressing and beauty treatment";"x mln euro";"1965";"2043"
"Operating returns";"Net turnover";"9603 Funeral and related activities";"x mln euro";"1044";"1056"
